id,category,en_term,ko_term,ko_synonyms,abbr,definition_ko,translation_note,source
PQ-015,색,Color shift,색편이,색 변화,,시야각·시간에 따라 색이 변하는 현상.,'색 이동'으로 직역 주의. 표준 '색편이'.,일반(seed)
PQ-016,색,Color difference (Delta E),색차,델타이,ΔE,두 색의 지각적 차이를 수치화한 값.,기호 ΔE 유지. 값이 작을수록 정확.,일반(seed)
PQ-017,색,Hue,색상,,,빨강·초록 등 색의 종류.,색의 3속성(색상/채도/명도) 중 하나.,일반(seed)
PQ-018,색,Saturation,채도,포화도,,색의 선명함/진하기 정도.,'포화도'는 공학 문맥. 일반은 '채도'.,일반(seed)
PQ-019,색,White point,백색점,화이트포인트,,기준 백색의 색좌표.,"색좌표(x,y)와 함께 사용.",일반(seed)
PQ-020,색,Color coordinate,색좌표,색도좌표,,"CIE 색공간 상의 색 위치(x,y 등).",'색 좌표' 띄어쓰기 지양.,일반(seed)
PQ-021,계조,Grayscale,계조,그레이스케일,,흑에서 백까지 밝기 단계의 집합.,'회색조'로도 번역되나 화질 문맥 표준은 '계조'.,일반(seed)
PQ-022,계조,Gray level,그레이 레벨,계조 레벨,,특정 밝기 단계 값(예: 0~255).,'계조값'으로도 표기.,일반(seed)
PQ-023,계조,Banding,밴딩,계조 끊김,,계조가 매끄럽지 않고 띠처럼 보이는 현상.,'띠 현상'으로 풀어쓰기 가능. 음차 '밴딩' 다수.,일반(seed)
PQ-024,계조,Dithering,디더링,,,제한된 계조로 부드러운 그라데이션을 흉내내는 기법.,음차 '디더링' 유지.,일반(seed)
PQ-025,계조,Tone mapping,톤 매핑,계조 변환,,휘도 범위를 표시 장치에 맞게 변환.,HDR→SDR 변환 문맥 다수.,일반(seed)
PQ-026,결함·불량,Mura,무라,얼룩,,화면 휘도·색의 국부적 불균일(얼룩) 불량.,"일본어 유래 업계 표준어. '무라' 유지, 첫 등장 시 '(얼룩)' 병기 권장.",일반(seed)
PQ-027,결함·불량,Image sticking,잔상,이미지 스티킹,,이전 화면 이미지가 남아 보이는 현상(가역적).,'잔상'이 표준. 영구적이면 Burn-in(번인)과 구분.,일반(seed)
PQ-028,결함·불량,Burn-in,번인,소착,,화소 열화로 이미지가 영구적으로 남는 현상.,'소착'은 사내 용어. '잔상'과 혼용 금지(가역성 차이).,일반(seed)
PQ-029,결함·불량,Flicker,플리커,깜빡임,,화면이 미세하게 깜빡이는 현상.,음차 '플리커' 또는 '깜빡임'.,일반(seed)
PQ-030,결함·불량,Crosstalk,크로스토크,누화,,인접 신호/화소 간 간섭.,'누화'는 통신 용어. 디스플레이는 '크로스토크' 권장.,일반(seed)
PQ-031,결함·불량,Moire,모아레,무아레,,규칙적 패턴 간섭으로 생기는 물결 무늬.,표기 '모아레' 권장.,일반(seed)
PQ-032,결함·불량,Bright dot / Dark dot,휘점/암점,밝은 점/어두운 점,,항상 켜진(밝은) 또는 꺼진(어두운) 화소 결함.,화소 불량 등급 문맥.,일반(seed)
PQ-033,결함·불량,Uniformity,균일도,균일성,,화면 전체의 휘도·색 균일 정도.,'불균일(non-uniformity)'과 짝으로 사용.,일반(seed)
PQ-034,결함·불량,Ghosting,고스팅,잔영,,움직임 뒤에 흐릿한 상이 따라오는 현상.,응답속도 문맥. '잔영'으로도 번역.,일반(seed)
PQ-035,시간응답,Response time,응답속도,응답시간,,화소가 밝기를 바꾸는 데 걸리는 시간.,"단위 ms. '응답 시간'과 혼용, '응답속도' 통일 권장.",일반(seed)
PQ-036,시간응답,Gray-to-gray,그레이 투 그레이,계조간 응답,GtG/G2G,회색 계조에서 다른 회색 계조로의 응답속도.,약어 GtG 유지.,일반(seed)
PQ-037,시간응답,Moving Picture Response Time,동영상 응답시간,,MPRT,움직이는 영상에서 지각되는 잔상 시간.,약어 'MPRT' 유지.,일반(seed)
PQ-038,시간응답,Refresh rate,주사율,화면 재생률,Hz,초당 화면을 갱신하는 횟수.,'재생률'과 혼용. 표준 '주사율'. 단위 Hz.,일반(seed)
PQ-039,시간응답,Frame rate,프레임레이트,프레임률,fps,초당 표시되는 프레임 수.,'주사율(Hz)'과 구분. 콘텐츠 측 지표.,일반(seed)
PQ-040,시간응답,Motion blur,모션 블러,움직임 번짐,,움직이는 물체가 흐리게 보이는 현상.,음차 '모션 블러' 또는 '움직임 번짐'.,일반(seed)
PQ-041,시간응답,Judder,저더,끊김,,프레임 변환 시 움직임이 끊겨 보이는 현상.,음차 '저더' 권장.,일반(seed)
PQ-042,해상도·구조,Resolution,해상도,,,화면을 구성하는 화소 수(가로×세로).,'분해능(광학)'과 구분.,일반(seed)
PQ-043,해상도·구조,Pixel,화소,픽셀,px,이미지를 구성하는 최소 단위.,'화소'와 '픽셀' 병용. 문서 내 통일 권장.,일반(seed)
PQ-044,해상도·구조,Sub-pixel,서브픽셀,부화소,,화소를 구성하는 R/G/B 등 하위 요소.,'부화소'는 학술 표기.,일반(seed)
PQ-045,해상도·구조,Pixel density,화소밀도,픽셀 밀도,PPI,인치당 화소 수.,약어 PPI 유지.,일반(seed)
PQ-046,해상도·구조,Aperture ratio,개구율,,,화소 면적 중 실제 빛이 통과/발광하는 비율.,'개구율' 표준. '구경비' 오역 주의.,일반(seed)
PQ-047,해상도·구조,Pixel arrangement,픽셀 배열,화소 배열,,RGB 스트라이프·펜타일 등 서브픽셀 배치.,예: PenTile(펜타일).,일반(seed)
PQ-048,해상도·구조,Viewing angle,시야각,,,화질 저하 없이 볼 수 있는 각도 범위.,'시야 각도' 지양. '시야각' 통일.,일반(seed)
PQ-049,해상도·구조,Aspect ratio,화면비,종횡비,,화면 가로:세로 비율(예: 16:9).,'종횡비'는 공학 표기.,일반(seed)
PQ-050,규격·측정,Nit,니트,,nit,휘도 단위(1 nit = 1 cd/m²).,단위 표기 'nit' 또는 '니트'.,일반(seed)
PQ-051,규격·측정,Candela per square meter,제곱미터당 칸델라,,cd/m²,휘도의 SI 단위.,기호 cd/m² 유지.,일반(seed)
PQ-052,규격·측정,Bit depth,비트뎁스,색심도,bpc,화소당 색 표현에 쓰는 비트 수.,'색심도(color depth)'와 연관. 8bit/10bit 등.,일반(seed)
PQ-053,규격·측정,Chromaticity,색도,,,휘도를 제외한 색의 질(색상+채도).,"색좌표(x,y)로 표현.",일반(seed)
PQ-054,규격·측정,Just Noticeable Difference,최소 식별 차이,,JND,사람이 겨우 인지하는 차이의 최소 단위.,약어 JND 유지. 화질 평가 지표.,일반(seed)
PQ-055,규격·측정,Color depth,색심도,색 깊이,,표현 가능한 색의 총 개수(비트 수 기반).,'색 깊이' 직역보다 '색심도' 권장.,일반(seed)
PQ-056,규격·측정,Display under test,피시험 디스플레이,시험 대상 디스플레이,DUT,측정·평가 대상이 되는 디스플레이.,약어 DUT 유지. IDMS 전반에서 반복 사용.,IDMS Ch01
PQ-057,색,Correlated color temperature,상관색온도,,CCT,백색광에 가장 가까운 흑체 온도(K).,색온도(Color temperature)와 구분. 정확 표기 '상관색온도'.,IDMS Ch01
PQ-058,해상도·구조,Modulation transfer function,변조전달함수,,MTF,공간주파수별 명암 대비 전달 특성(해상력 지표).,약어 MTF 유지.,IDMS Ch01
PQ-059,규격·측정,Light-measurement device,광측정 장치,광측정 디텍터,LMD,휘도·색 등을 측정하는 계측기.,약어 LMD 유지.,IDMS Ch01
PQ-060,규격·측정,Tristimulus values,삼자극치,,XYZ,"색을 나타내는 CIE X,Y,Z 값.",'삼자극값'과 혼용. 표준 '삼자극치'.,IDMS Ch01
PQ-061,규격·측정,Chromaticity coordinates,색도좌표,,"x,y","CIE 색공간에서 색을 나타내는 좌표(x, y).",'색좌표(color coordinate)'와 밀접하나 정확 표기는 '색도좌표'.,IDMS Ch01
PQ-062,규격·측정,Colorimetry,측색,색채측정,,색을 정량적으로 측정하는 분야.,'비색법'은 화학 문맥. 디스플레이는 '측색/색채측정'.,IDMS Ch01
PQ-063,규격·측정,Photometry,측광,광도측정,,사람 눈 감도 기반으로 빛의 밝기를 측정.,'광도측정'과 병용.,IDMS Ch01
PQ-064,규격·측정,Radiometry,복사측정,방사측정,,파장에 무관한 물리적 복사량 측정.,'방사'와 '복사' 혼용. 사내 표준 표기 확인 권장.,IDMS Ch01
PQ-065,규격·측정,Radiance,복사휘도,방사휘도,,단위 면적·입체각당 복사 파워.,측광량 '휘도(luminance)'와 구분.,IDMS Ch01
PQ-066,규격·측정,Irradiance,복사조도,방사조도,,단위 면적당 입사 복사 파워.,측광량 '조도(illuminance)'와 구분.,IDMS Ch01
PQ-067,규격·측정,Illuminance,조도,,lx,단위 면적당 입사 광속(lux).,단위 lux. 표준 '조도'.,IDMS Ch01
PQ-068,해상도·구조,Emissive display,자발광 디스플레이,발광형 디스플레이,,스스로 빛을 내는 디스플레이(OLED 등).,'자발광' 권장. 'emissive' 음차 지양.,IDMS Ch01
PQ-069,해상도·구조,Reflective display,반사형 디스플레이,,,주변광을 반사·변조하여 표시하는 디스플레이.,,IDMS Ch01
PQ-070,해상도·구조,Transflective display,반투과형 디스플레이,트랜스플렉티브,,자발광과 반사 특성을 모두 갖는 디스플레이.,'반투과형' 권장.,IDMS Ch01
PQ-071,결함·불량,Visual assessment,육안 평가,시각 평가,,계측기 없이 사람 눈으로 성능·결함을 평가.,'육안 평가' 권장. 측정(measurement)과 구분.,IDMS Ch04
PQ-072,결함·불량,Subjective evaluation,주관 평가,,,관찰자 판단에 의존하는 평가.,'객관 평가(objective)'와 대비.,IDMS Ch04
PQ-073,색,Saturated color,포화색,채도색,,최대 채도로 표현된 색.,'포화색' 권장.,IDMS Ch04
PQ-074,색,Primary color,원색,주색,,색을 구성하는 기본색(R/G/B).,'1차색'으로도 번역되나 디스플레이는 '원색' 권장.,IDMS Ch04
PQ-075,색,Secondary color,2차색,보조색,,원색을 혼합한 색(청록/자홍/노랑).,,IDMS Ch04
PQ-076,색,Color purity,색순도,,,색이 순색에 가까운 정도.,채도(saturation)와 구분되는 개념.,IDMS Ch04
PQ-077,결함·불량,Cosmetic defect,외관 결함,미관 결함,,스크래치·찍힘 등 표면 외관 불량.,화소 결함(pixel defect)과 구분.,IDMS Ch04
PQ-078,결함·불량,Pixel defect,화소 결함,불량 화소,,항상 켜짐/꺼짐 등 화소 단위 불량.,'defective pixel=불량 화소'. 휘점/암점 포함.,IDMS Ch04
PQ-079,결함·불량,Video artifact,영상 아티팩트,영상 왜곡,,신호·전자계 등으로 생기는 원치 않는 영상.,'아티팩트' 음차 다수. '영상 이상' 병기 가능.,IDMS Ch04
PQ-080,결함·불량,Video noise,영상 잡음,비디오 노이즈,,영상 신호에 섞인 원치 않는 성분.,,IDMS Ch04
PQ-081,시간응답,Foveal vision,중심시,중심 시야,,눈의 중심(고해상) 시각 영역.,주변시(peripheral)와 대비. 플리커 지각에 영향.,IDMS Ch04
PQ-082,시간응답,Peripheral vision,주변시,주변 시야,,시야 가장자리의 시각 영역.,플리커에 더 민감.,IDMS Ch04
PQ-083,해상도·구조,Checkerboard pattern,체커보드 패턴,바둑판 패턴,,흑백 격자 시험 패턴.,'바둑판 패턴' 병기 가능.,IDMS Ch04
PQ-084,해상도·구조,Convergence,컨버전스,수렴,,R/G/B 색 성분이 같은 위치에 모이는 정도.,misconvergence=미스컨버전스(색 어긋남). CRT/프로젝션 문맥.,IDMS Ch04
PQ-085,계조,Grayscale inversion,계조 반전,그레이스케일 반전,,시야각 등에서 밝기 순서가 뒤집히는 현상.,색 반전(color inversion)과 함께 사용.,IDMS Ch04
PQ-086,휘도/명암,Gamma curve,감마 곡선,,,입력 신호 대비 출력 휘도의 전달 곡선.,'감마 커브' 음차 지양. '감마 곡선' 권장.,IDMS Ch04
PQ-087,휘도/명암,Electro-optical transfer function,전기광학 전달함수,,EOTF,전기 입력을 광 출력으로 변환하는 특성.,약어 EOTF 유지. HDR 문맥에서 중요.,IDMS Ch04
PQ-088,휘도/명암,White clipping,화이트 클리핑,백색 포화,,밝은 영역이 갑자기 완전 백색으로 뭉개지는 현상.,'백색 포화' 병기 가능.,IDMS Ch04
PQ-089,휘도/명암,Black level compression,블랙 레벨 압축,흑색 압축,,어두운 계조가 뭉개져 구분되지 않는 현상.,화이트 레벨 압축과 대비.,IDMS Ch04
PQ-090,해상도·구조,Moving-picture resolution,동영상 해상도,동화상 해상도,,움직이는 영상에서의 해상도.,정지 해상도와 구분. Ch12에서 측정.,IDMS Ch04
PQ-091,해상도·구조,Spatial frequency,공간주파수,,,단위 길이당 명암 반복 수(해상 지표).,,IDMS Ch04
PQ-092,해상도·구조,Limiting resolution,한계 해상도,극한 해상도,,구분 가능한 최대 공간주파수.,,IDMS Ch04
PQ-093,시간응답,Visual angle,시각,시야각(視角),,대상이 눈에 대해 이루는 각도.,시야각(viewing angle)과 다름! 오역 주의. '시각(視角)'.,IDMS Ch04
PQ-094,해상도·구조,Over-scan,오버스캔,,,신호 영역이 화면 밖으로 넘어가 잘리는 것.,'dot by dot'=1:1 표시와 대비.,IDMS Ch04
PQ-095,시간응답,Persistence,지속성,잔광,,프레임 간 휘도가 유지되는 정도.,'잔광'으로도 번역. 잔상(image sticking)과 구분.,IDMS Ch04
PQ-096,계조,Color scale,컬러스케일,색 계조,,원색 채널별 계조(휘도) 특성.,그레이스케일(gray scale)의 색 채널 버전.,IDMS Ch06
PQ-097,휘도/명암,Gamma determination,감마 산출,감마 결정,,계조별 휘도 데이터로 감마 값을 구하는 것.,'감마 측정/산출'로 번역.,IDMS Ch06
PQ-098,휘도/명암,GOGO model,GOGO 모델,,GOGO,감마 곡선을 Gain-Offset-Gamma-Offset로 모델링.,약어 GOGO 유지. 모델 피팅 감마 산출에 사용.,IDMS Ch06
PQ-099,휘도/명암,Gamma-distortion ratio,감마 왜곡비,,GDR,실제 감마가 이상 곡선에서 벗어난 정도.,위치별(positional)·RMS 변형 있음.,IDMS Ch06
PQ-100,휘도/명암,Directional gamma,방향별 감마,,,시야 방향에 따른 감마 값.,시야각 의존 감마.,IDMS Ch06
PQ-101,색,Primary color scale,원색 계조,주색 계조,,R/G/B 각 원색의 계조 특성.,,IDMS Ch06
PQ-102,휘도/명암,Gain,게인,이득,,신호 대비 출력의 증폭 정도.,'이득'과 병용. contrast 조정과 연관.,IDMS Ch06
PQ-103,휘도/명암,Offset,오프셋,,,신호 0에서의 출력 기준값.,brightness/블랙레벨 조정과 연관.,IDMS Ch06
PQ-104,휘도/명암,Tone scale,톤 스케일,계조 특성,,입력 대비 출력 밝기의 전체 특성.,gamma/EOTF와 유사 개념.,IDMS Ch06
PQ-105,휘도/명암,Sequential contrast,순차 명암비,다크룸 명암비,,흰/검은 전체화면을 시간차로 측정한 명암비.,on-off·암실(darkroom) 명암비. 동시(simultaneous) 명암비와 구분.,IDMS Ch05
PQ-106,휘도/명암,Peak contrast,피크 명암비,,,최대 밝기 대비 최소 밝기의 명암비.,,IDMS Ch05
PQ-107,휘도/명암,Starfield contrast,스타필드 명암비,별점 명암비,,검은 배경에 소수 밝은 점 패턴으로 측정한 명암비.,,IDMS Ch05
PQ-108,휘도/명암,Corner-box contrast,코너박스 명암비,,,모서리 박스 패턴으로 측정한 명암비.,,IDMS Ch05
PQ-109,색,Chromaticity gamut area,색도 색역 면적,,,색도도에서 원색이 이루는 삼각형 면적.,'색역 면적'. 상대(relative) 버전 있음.,IDMS Ch05
PQ-110,색,White-point accuracy,백색점 정확도,,,목표 백색점과 실제 백색점의 일치 정도.,백색점(white point)과 함께.,IDMS Ch05
PQ-111,휘도/명암,Dimming range,디밍 범위,"조광 범위,휘도 조정 범위",,최소~최대 휘도 조정(조광) 범위.,luminance adjustment range와 동일. '조광 범위' 병기.,IDMS Ch05
PQ-112,결함·불량,Halation,헐레이션,광번짐,,밝은 영역 주변으로 빛이 번지는 현상.,'광번짐'으로 풀어쓰기 가능.,IDMS Ch05
PQ-113,휘도/명암,Loading,로딩,휘도 로딩,,표시 면적·밝기에 따라 최대 휘도가 변하는 현상.,'화면 로딩(screen loading)'. 자발광 특성.,IDMS Ch05
PQ-114,휘도/명암,Perceptual-contrast length,지각 명암 길이,,PCL,계조의 지각적 명암 길이를 나타내는 지표.,약어 PCL 유지.,IDMS Ch05
PQ-115,색,Color gamut volume,색역 볼륨,색역 부피,,3D 색공간(CIELAB)에서 색역의 부피.,'색역 면적(2D)'과 구분. CIELAB gamut volume.,IDMS Ch05
PQ-116,색,Gamut ring diagram,색역 링 다이어그램,색역 링,,명도별 색역 커버리지를 링으로 표현한 도표.,'gamut rings'. 색역 커버리지 시각화.,IDMS Ch05
PQ-117,결함·불량,Luminance uniformity,휘도 균일도,휘도 불균일도,,화면 전체에서 휘도가 일정한 정도.,nonuniformity=불균일도. 실무는 불균일도를 주로 규정.,IDMS Ch08
PQ-118,결함·불량,Chromaticity uniformity,색도 균일도,색도 불균일도,,화면 전체에서 색도가 일정한 정도.,최대 색도차(Δu'v' 등)로 규정.,IDMS Ch08
PQ-119,결함·불량,Area uniformity,면적 균일도,,,넓은 영역을 기준으로 한 균일도.,표본(sampled) 균일도와 구분.,IDMS Ch08
PQ-120,결함·불량,Sampled uniformity,표본 균일도,샘플드 균일도,,화면 여러 점을 표본 측정한 균일도.,,IDMS Ch08
PQ-121,결함·불량,Contrast uniformity,명암비 균일도,,,화면 전체 명암비의 균일 정도.,,IDMS Ch08
PQ-122,결함·불량,Display sparkle,스파클,반짝임,,표면 처리 등으로 생기는 미세한 반짝임 결함.,안티글레어 표면 문맥. 음차 '스파클'.,IDMS Ch08
PQ-123,결함·불량,Graininess,입상성,그레인,,미세하게 얼룩덜룩한(알갱이) 느낌.,sparkle와 연관. '입상성' 권장.,IDMS Ch08
PQ-124,휘도/명암,Average Picture Level,평균 화면 밝기,평균 휘도 레벨,APL,화면에서 흰색이 차지하는 평균 밝기 비중(%).,약어 APL 유지. OLED 휘도 제어의 핵심 변수.,컬러스케일
PQ-125,휘도/명암,Auto Brightness Limiter,자동 밝기 제한,,ABL,APL이 높을 때 최대 휘도를 자동으로 낮추는 기능.,약어 ABL 유지. OLED 특성.,컬러스케일
PQ-126,휘도/명암,Sustained luminance,지속 휘도,지속 밝기,,일정 시간 유지 가능한 휘도.,peak(순간)와 대비. '지속 휘도' 권장.,컬러스케일
PQ-127,시간응답,Variable Refresh Rate,가변 주사율,,VRR,콘텐츠에 맞춰 주사율을 실시간 변경하는 기술.,약어 VRR 유지. G-Sync/FreeSync.,컬러스케일
PQ-128,계조,Gamma shift,감마 변이,감마 시프트,,시야각·주사율에 따라 감마가 변하는 현상.,음차 '감마 시프트' 다수.,컬러스케일
PQ-129,결함·불량,Blooming,블루밍,빛 번짐,,로컬 디밍에서 밝은 부분 주변으로 빛이 새는 현상.,'빛 번짐' 병기. 헤일로와 연관.,컬러스케일
PQ-130,계조,Black crush,블랙 크러시,암부 뭉개짐,,어두운 계조가 뭉개져 구분되지 않는 현상.,'암부 뭉개짐'. black level compression과 유사.,컬러스케일
PQ-131,휘도/명암,Roll-off,롤오프,,,HDR 톤 매핑에서 고휘도 구간을 완만히 낮추는 것.,음차 '롤오프'. clipping과 대비.,컬러스케일
PQ-132,휘도/명암,Elevated black,들뜬 블랙,,,검정이 완전히 어둡지 않고 떠 보이는 현상.,콜로키얼 '들뜬 블랙'. 반사·앰비언트 관련.,컬러스케일
PQ-133,결함·불량,Halo,헤일로,후광,,밝은 물체 주변에 생기는 빛무리(로컬 디밍).,'후광'. 블루밍과 연관.,컬러스케일
PQ-134,결함·불량,Pulse Width Modulation,펄스폭 변조,,PWM,백라이트를 껐다 켜서 밝기를 조절하는 방식.,약어 PWM 유지. 눈 피로/플리커 관련.,컬러스케일
PQ-135,시간응답,Overshoot,오버슈트,역잔상,,오버드라이브 과다로 목표 밝기를 넘겨 생기는 잔상.,'역잔상'. 링잉(ringing)과 연관.,컬러스케일
PQ-136,시간응답,Undershoot,언더슈트,,,목표 밝기에 못 미쳐 생기는 응답 부족.,overshoot와 대비.,컬러스케일
PQ-137,규격·측정,Look-Up Table,룩업 테이블,,LUT,입력→출력 값 변환표(캘리브레이션에 사용).,약어 LUT 유지. 3D LUT 등.,컬러스케일
PQ-138,규격·측정,Spectral Power Distribution,분광 분포,분광 파워 분포,SPD,파장별 광 세기 분포.,약어 SPD 유지.,컬러스케일
PQ-139,휘도/명암,Ambient Contrast Ratio,인지 명암비,주변광 명암비,ACR,주변광이 있는 실사용 환경에서의 명암비.,암실 명암비와 구분. 반사율에 좌우.,컬러스케일
PQ-140,휘도/명암,Local dimming,로컬 디밍,지역 디밍,,화면을 구역별로 나눠 백라이트 밝기를 제어.,음차 '로컬 디밍'. Mini-LED 문맥.,컬러스케일
PQ-141,휘도/명암,Dimming zone,디밍존,디밍 구역,,로컬 디밍에서 독립 제어되는 밝기 구역.,존 개수가 많을수록 블루밍 감소.,컬러스케일
PQ-142,규격·측정,Reflectance,반사율,,,표면이 입사광을 반사하는 비율.,야외 가시성·앰비언트 명암비와 연관.,컬러스케일
PQ-143,결함·불량,Pixel refresher,픽셀 리프레셔,화소 리프레시,,OLED 잔상/번인 방지를 위한 화소 보정 동작.,'픽셀 리프레시'.,컬러스케일
PQ-144,규격·측정,Calibration,캘리브레이션,교정,,색·휘도를 기준에 맞게 조정하는 것.,'교정'과 병용. HW/SW 캘리브레이션 구분.,컬러스케일
PQ-145,해상도·구조,Chroma subsampling,크로마 서브샘플링,색차 서브샘플링,,색 정보를 줄여 압축(4:4:4/4:2:2/4:2:0).,텍스트 뭉개짐과 연관.,컬러스케일
PQ-146,해상도·구조,Tandem OLED,탠덤 OLED,2단 OLED,,발광층을 2층으로 쌓아 휘도·수명을 높인 구조.,음차 '탠덤 OLED'.,컬러스케일
PQ-147,결함·불량,IPS Glow,IPS 글로우,,,IPS 패널의 어두운 화면 모서리 발광 현상.,빛샘(bleeding)과 구분.,컬러스케일
PQ-148,결함·불량,Backlight bleeding,빛샘,백라이트 누광,,백라이트 빛이 화면 가장자리로 새는 현상.,콜로키얼 '빛샘'.,컬러스케일
PQ-149,색,Metamerism,조건등색,메타메리즘,,광원에 따라 색이 같거나 다르게 보이는 현상.,'조건등색' 표준.,컬러스케일
PQ-150,시간응답,Input lag,입력 지연,인풋랙,,입력~화면 표시까지의 지연 시간.,'입력 지연'. 응답속도(response time)와 구분.,컬러스케일
PQ-151,색,Over-saturation,색 과포화,과채도,,색이 지나치게 진하게 표현되는 것.,'CMS 미지원 색상 과도화' 문맥.,컬러스케일
PQ-152,시간응답,Overdrive,오버드라이브,,OD,응답속도를 높이려 구동을 과하게 하는 것.,과다 시 overshoot(역잔상) 유발.,컬러스케일
PQ-153,계조,Posterization,포스터라이제이션,계조 뭉개짐,,계조 부족으로 색이 띠·단계로 뭉개짐.,'깃털 계조'는 콜로키얼. banding과 연관.,컬러스케일
PQ-154,시간응답,Jelly scroll,젤리 스크롤,,,스크롤 시 화면 한쪽이 젤리처럼 밀리는 현상.,주사 방향/주사율 관련.,컬러스케일
PQ-155,휘도/명암,Micro Lens Array,마이크로 렌즈 어레이,,MLA,미세 렌즈로 OLED 광 추출 효율을 높이는 기술.,약어 MLA 유지.,컬러스케일
PQ-156,휘도/명암,Ambient black,앰비언트 블랙,,,주변광 하에서의 검정 표현(반사 포함).,들뜬 블랙과 연관.,컬러스케일
PQ-157,규격·측정,Color management system,컬러 매니지먼트,색 관리,CMS,OS/앱이 색을 일관되게 관리하는 체계.,약어 CMS. ICC 프로파일 기반.,컬러스케일
PQ-158,규격·측정,ICC profile,ICC 프로파일,,,장치 색 특성을 기술한 표준 파일.,컬러 매니지먼트에 사용.,컬러스케일
PQ-159,결함·불량,Anti-glare,안티글레어,눈부심 방지,AG,표면 난반사로 반사를 줄이는 처리.,'AG'. sparkle(자글거림) 유발 가능.,컬러스케일
PQ-160,결함·불량,Anti-reflection,반사 방지,반사 방지 코팅,AR,코팅으로 표면 반사를 줄이는 처리.,'AR'. anti-glare와 방식이 다름.,컬러스케일
PQ-161,결함·불량,Image retention,일시적 잔상,,,잠시 남았다 사라지는 가역적 잔상.,번인(영구)과 구분. image sticking과 동일 계열.,컬러스케일
PQ-162,해상도·구조,Viewing direction,관측 방향,시야 방향,,"화면을 바라보는 방향(극각 θ, 방위각 φ).",시야각(각도 범위)과 구분.,IDMS Ch09
PQ-163,해상도·구조,Design viewing direction,설계 관측 방향,,,정면(법선)이 아닌 특정 방향을 기준으로 설계된 방향.,차량용 등. 법선 대신 기준으로 사용.,IDMS Ch09
PQ-164,휘도/명암,Viewing-angle luminance change ratio,시야각 휘도 변화비,,,관측 방향에 따른 휘도 변화 비율.,,IDMS Ch09
PQ-165,색,Viewing-angle color variation,시야각 색 변화,,,관측 방향에 따른 색 변화.,색편이(color shift)의 시야각 계량.,IDMS Ch09
PQ-166,해상도·구조,Polar angle,극각,,θ,법선으로부터 기울어진 각도.,방위각(azimuth)과 함께 관측 방향 규정.,IDMS Ch09
PQ-167,해상도·구조,Azimuth angle,방위각,,φ,화면 평면에서의 회전 각도.,극각과 함께 관측 방향 규정.,IDMS Ch09
